bid_id,bid_number,bid_year,buyer_org,department,product_category,category_family,quantity,bid_type,evaluation_type,bid_start_date,bid_end_date,b_status,b_buyer_status,procurement_class,classification_status,classification_method,classification_confidence,pdf_review_status,bid_document_url,technical_spec_url,atc_url,boq_url,corrigendum_urls,eligibility_urls,catalogue_urls,other_document_urls,documents
1193388,GEM/2019/B/175197,2019,,Health and Family Welfare Department Delhi,Steel Clothes Lockers,,4,2,0,2019-06-28 17:01:37+05:30,2019-07-02 16:45:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1193388,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1299852""]","[{""document_id"": 1443, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1193388"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1444, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1299852"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1193528,GEM/2019/B/175334,2019,,Health and Family Welfare Department Delhi,almirah- Steel,,4,2,0,2019-06-28 16:59:09+05:30,2019-07-02 16:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1193528,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1299850""]","[{""document_id"": 1431, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1193528"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1432, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1299850"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1193562,GEM/2019/B/175365,2019,,Health and Family Welfare Department Delhi,patient care beds for general use,,3,2,0,2019-07-06 18:57:41+05:30,2019-07-10 18:30:00+05:30,1,0,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1193562,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1309773""]","[{""document_id"": 1997, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1193562"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1998, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1309773"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1193574,GEM/2019/B/175377,2019,,Health and Family Welfare Department Delhi,medical stools or chairs,,5,2,0,2019-06-28 16:58:08+05:30,2019-07-02 16:30:00+05:30,1,0,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1193574,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1299847""]","[{""document_id"": 1433, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1193574"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1434, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1299847"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1198310,GEM/2019/B/179773,2019,Ministry of Railways,NA,plastic moulded chair,,50,2,0,2019-09-24 17:51:23+05:30,2019-09-28 17:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1198310,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1404995""]","[{""document_id"": 7179, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1198310"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 7180, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1404995"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1204335,GEM/2019/B/185407,2019,,Health and Family Welfare Department Delhi,Public place seating chair,,5,2,0,2019-06-28 16:54:41+05:30,2019-07-02 16:30:00+05:30,1,0,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1204335,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1299836""]","[{""document_id"": 1435, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1204335"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1436, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1299836"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1204348,GEM/2019/B/185420,2019,,Health and Family Welfare Department Delhi,revolving chair,,10,2,0,2019-06-28 16:53:05+05:30,2019-07-02 16:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1204348,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1299835""]","[{""document_id"": 1437, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1204348"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1438, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1299835"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1204360,GEM/2019/B/185432,2019,,Health and Family Welfare Department Delhi,revolving chair,,8,2,0,2019-06-28 16:51:46+05:30,2019-07-02 16:30:00+05:30,1,0,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1204360,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1299831""]","[{""document_id"": 1439, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1204360"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1440, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1299831"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1216791,GEM/2019/B/196865,2019,,Women Child Development & Social Security Department Jharkhand,"Stadiometer- ICDS,Mother and Child Weighing Scales -ICDS,Infantometer- ICDS",,56739,2,0,2019-07-19 22:13:53+05:30,2019-07-24 00:00:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1216791,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1325682""]","[{""document_id"": 2835, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1216791"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 2836, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1325682"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1216806,GEM/2019/B/196880,2019,,Women Child Development & Social Security Department Jharkhand,Power Bank for Mobile and Laptops,,29134,2,0,2019-06-22 21:44:00+05:30,2019-06-27 00:00:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1216806,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1293636""]","[{""document_id"": 1193, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1216806"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 1194, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1293636"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
